Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Source Website,Complementary Sources,
BIO-19050000-CA-KAZ-0001,BiologicalHazards,Epidemic,Typhus Fever,epidemic,KAZ,1,0.6,EM-DAT,High,1999,0,0,1999,0,0,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,166,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
BIO-19050101-CA-KAZ-0001,BiologicalHazards,Epidemic,Typhus Fever,epidemic,KAZ,1,0.6,EM-DAT,High,2000,1,1,2000,1,30,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,114,Kyzylzhar,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
BIO-19050313-CA-KAZ-0001,BiologicalHazards,Epidemic,COVID-19,epidemic,KAZ,1,0.6,Glide,High,2020,3,13,2022,5,5,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,19071,1498668,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.glidenumber.net/glide/public/search/search.jsp,https://coronavirus.jhu.edu/region/kazakhstan,
BIO-19051209-CA-KAZ-0001,BiologicalHazards,Epidemic,N/A,epidemic,KAZ,1,0.6,EM-DAT,High,1998,12,9,1998,12,9,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,7,593,Ust-kamenogorsk,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
GEO-19050123-CA-KAZ-0001,GeophysicalHazards,Earthquakes,Earthquake,earthquake,KAZ,1,0.6,EM-DAT,High,2024,1,23,2024,1,23,Winter,1/6/2026,1/30/2026,5.8,Moment Magnitude,Central Asia,Kazakhstan,N/A,67,Almaty,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,https://astanatimes.com/2024/01/kazakh-officials-confirm-no-casualties-in-almaty-earthquake/,
GEO-19050314-CA-KAZ-0001,GeophysicalHazards,Landslide,Mudflow,mass_movement,KAZ,1,0.6,EM-DAT,High,2004,3,14,2004,3,14,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,48,N/A,Talgar,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,http://news.bbc.co.uk/2/hi/asia-pacific/3510218.stm,
GEO-19050523-CA-KAZ-0001,GeophysicalHazards,Earthquakes,Earthquake,earthquake,KAZ,1,0.6,EM-DAT,High,2023,5,23,2023,5,23,Spring,1/6/2026,1/30/2026,5.5,Moment Magnitude,Central Asia,Kazakhstan,3,36626,Jambyl,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050207-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,2,7,2024,2,9,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,4,100,Medeu,N/A,N/A,N/A,2,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://www.kazhydromet.kz/,
HYDRO-19050201-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2010,2,1,2010,3,0,Winter,1/6/2026,1/30/2026,323800,km2,Central Asia,Kazakhstan,44,16200,Almatinskaya,34576,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050201-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2023,2,1,2023,2,3,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,204,"Turkestan, Sauran, Arys",N/A,98,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://global-flood.emergency.copernicus.eu/glofas-forecasting/,
HYDRO-19050322-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2023,3,22,2023,3,24,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,160,"Karasu, Kostanay, Aktobe, Karkaraly, Bukhar-Zhyrau, Abay",N/A,6,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://global-flood.emergency.copernicus.eu/glofas-forecasting/,
HYDRO-19050218-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,0.6,EM-DAT,High,2012,2,18,2012,2,20,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,9400,Yujno-kazachstanskaya,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050220-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,0.6,EM-DAT,High,2008,2,20,2008,3,3,Winter,1/6/2026,1/30/2026,51580,km2,Central Asia,Kazakhstan,1,13000,"Yujno-kazachstanskaya, Kyzylordinskaya",130000,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050224-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2005,2,24,2005,3,23,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,25000,Kyzylordinskaya,7662,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050309-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2018,3,9,2018,3,14,Spring,1/6/2026,1/30/2026,331425.2,km2,Central Asia,Kazakhstan,N/A,400,"Ayagoz, Glubokoye, Kurshim, Zaisan, Urzhar",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050311-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,1,ReliefWeb,Very High,2010,3,11,2010,3,24,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,37,10000,"Tarbagatay, Abay, Kurchum, Zaysan, Ulan",N/A,N/A,2024,1000,N/A,No,N/A,N/A,N/A,8,N/A,https://reliefweb.int/attachments/a010a862-8491-33f4-ae70-075ecd04e928/F4508E4B3E1E97BFC12576F000334F7F-Full_Report.pdf,https://www.glidenumber.net/glide/public/search/search.jsp,
HYDRO-19050317-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,0.6,EM-DAT,High,2010,3,17,2010,3,24,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,13000,Vostochno-kazachstanskaya,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050331-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2022,3,31,2022,4,2,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,1165,"Mangystau, West Kazakhstan, Aktobe, Akmola, Karaganda, Pavlodar ",N/A,270,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://floodobservatory.colorado.edu/wiki/FloodRecords,
HYDRO-19050323-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2014,3,23,2014,4,15,Spring,1/6/2026,1/30/2026,213897,km2,Central Asia,Kazakhstan,5,2709,"Bukhar-Zhyrau, Karagandinskaya",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050514-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2022,5,14,2022,5,16,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,1,N/A,Tekeli,N/A,N/A,1,2,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://global-flood.emergency.copernicus.eu/glofas-forecasting/,
HYDRO-19050430-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2020,4,30,2020,5,2,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,5400,Maktaaral,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://global-flood.emergency.copernicus.eu/glofas-forecasting/,
HYDRO-19050401-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2000,4,1,2000,4,0,Spring,1/6/2026,1/30/2026,108,km2,Central Asia,Kazakhstan,N/A,2500,Kustanayskaya,1500,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050403-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2024,4,3,2024,4,12,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,2,120000,"Aktobe, Kostanay, Karaganda, Akmola, Atyrau, Pavlodar, Abay, lytau, Aktyubinskaya, Zapadno-kazachstanskaya",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050408-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2015,4,8,2015,4,12,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,2,12670,"Temirtaou, Karagandinskaya, Akmolinskaya, Pavlodarskaya",5300,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050409-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,0.6,EM-DAT,High,2011,4,9,2011,4,15,Spring,1/6/2026,1/30/2026,213195,km2,Central Asia,Kazakhstan,2,16000,"Oural, Zapadno-kazachstanskaya",67000,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050412-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,0.6,Glide,High,2011,4,12,2011,0,0,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,"Zelenovsky, Taskalinsky, Terektinsky, Chingirlausky ",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.glidenumber.net/glide/public/search/search.jsp,N/A,
HYDRO-19050414-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,0.6,EM-DAT,High,2017,4,14,2017,4,21,Spring,1/6/2026,1/30/2026,397487.7,km2,Central Asia,Kazakhstan,N/A,7000,"Atsbasar, Aktobe, Zhambyl, Karaganda, Kostanay",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050420-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,4,20,2021,7,16,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19050420-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2020,4,20,2020,9,6,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19050420-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2018,4,20,2018,11,24,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19050421-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,0.6,Glide,High,2023,4,21,2023,9,21,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://www.glidenumber.net/glide/public/search/search.jsp,N/A,
HYDRO-19050331-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2011,3,31,2011,4,19,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,1,9000,"Taskalinskly, Zelenovskly, Terektinskly, Chingirlauskly",N/A,8625,N/A,N/A,300 km roads,No,N/A,N/A,N/A,117,N/A,https://reliefweb.int/map/kazakhstan/kazakhstan-floods-19-apr-2011-location-map,https://reliefweb.int/sites/reliefweb.int/files/resources/Full_Report_246.pdf,
HYDRO-19050501-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2020,5,1,2020,5,4,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,33000,Turkestan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050513-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,0.6,EM-DAT,High,2001,5,13,2001,5,13,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,3668,Vostochno-kazachstanskaya,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050129-CA-KAZ-0001,HydrologicalHazards,Floods,FlashFlood,flood,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2004,1,29,2004,3,2,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kzyl-Orda,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://www.adrc.asia/view_disaster_en.php?Lang=en&Key=688,
HYDRO-19050520-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2020,5,20,2021,2,9,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19050520-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2019,5,20,2019,9,8,Spring,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19050526-CA-KAZ-0001,HydrologicalHazards,Floods,RiverineFlood,flood,KAZ,1,0.6,EM-DAT,High,1993,5,26,1993,6,4,Spring,1/6/2026,1/30/2026,213200,km2,Central Asia,Kazakhstan,10,30000,"Atyrauskaya, Zapadna-Kazakhstanskaya, Aktjubinskaya",36532,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050601-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,0.6,EM-DAT,High,2021,6,1,2021,7,31,Summer,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,71000,"Mangistau, Turkestan, Kyzylorda",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
HYDRO-19050820-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2018,8,20,2018,10,19,Summer,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19050920-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2023,9,20,2024,1,19,Autumn,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19051020-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,10,20,2026,1,2,Autumn,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19051020-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,10,20,2024,7,2,Autumn,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19051020-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2020,10,20,2022,9,27,Autumn,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19051220-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,12,20,2025,5,29,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
HYDRO-19051220-CA-KAZ-0001,HydrologicalHazards,Droughts,Drought,drought,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2018,12,20,2019,4,5,Winter,1/6/2026,1/30/2026,N/A,N/A,Central Asia,Kazakhstan,N/A,N/A,Kazakhstan,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://drought.emergency.copernicus.eu/tumbo/gdo/map/,
MET-19050101-CA-KAZ-0001,MeteorologicalHazards,ExtremeTemperature,Cold Wave,extreme_temperature,KAZ,1,0.6,EM-DAT,High,2001,1,1,2001,1,0,Winter,1/6/2026,1/30/2026,-47,Celcius,Central Asia,Kazakhstan,3,12,"Ulan, Vostochno-kazachstanskaya",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://public.emdat.be/,N/A,
MET-19050404-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,4,4,2025,4,4,Spring,1/6/2026,1/30/2026,6635,Hectar,Central Asia,Kazakhstan,N/A,2,"Oktyabrskiy, Tobol, Amankaragay, Semiozërnoye, Rudnyy, Kustanay, Zatobolsk",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050831-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,8,31,2025,8,31,Summer,1/6/2026,1/30/2026,6713,Hectar,Central Asia,Kazakhstan,N/A,N/A,Ural'sk,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19051003-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,10,3,2025,10,7,Autumn,1/6/2026,1/30/2026,8121,Hectar,Central Asia,Kazakhstan,N/A,N/A,Dzhambul,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
MET-19050306-CA-KAZ-0001,MeteorologicalHazards,Fires,ForestFires,fire,KAZ,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,3,6,2024,3,7,Spring,1/6/2026,1/30/2026,5213,Hectar,Central Asia,Kazakhstan,N/A,N/A,Gur'yev,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,https://gdacs.org/,https://gwis.jrc.ec.europa.eu/apps/gwis_current_situation/index.html,
