Dis No,Hazard  Group,Hazard Type,Specific Hazard Name,Hazard Type Final,ISO,Data Source Type,Source Level,Source Origin,Reliability Rating,Start Year,Start Month,Start Day,End Year,End Month,End Day,Event Season,Data Entry Date,Data Last Updated,Magnitude,Magnitude Scale,Region,Country,Total Deaths,No. Affected,Land Cover,Location,Total Economic Loss,No. Houses Damaged/Destroyed,No. Houses Damaged ,No. Houses Destroyed,No. Infrastucture Destroyed/Damaged,Gender Data Availability,No.Gender Female,No.Gender Male,No. Gender Other,No. Children,No. Disabled Population,Glide No,Source Website,Notes,,,,
MET-19050720-WBTC-MNE-0001,MeteorologicalHazards,ExtremeTemperature,Heatwave,extreme_temperature,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2007,7,20,2007,9,10,Summer,16/12/2025,17/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,1,N/A,All ,Podgorica,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,HT-2007-000105-MNE,https://www.ifrc.org/docs/appeals/rpts07/HeatwaveCEIB2.pdf,,,,,
HYDRO-19050913-WBTC-MNE-0001,HydrologicalHazards,Floods,FlashFlood,fire,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2012,9,13,2012,9,13,Autumn,16/12/2025,17/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,800,Refugee Camp,Podgorica (Konik),90.3,N/A,309,5,N/A,No,N/A,N/A,N/A,N/A,N/A,FF-2012-000168-MNE,https://reliefweb.int/report/montenegro/montenegro-floods-refugee-camp-konik-dref-operation-mdrme006-final-report,,,,,
MET-19050724-WBTC-MNE-0001,MeteorologicalHazards,Fires,UrbanFires,flood,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2012,7,24,2012,7,24,Summer,16/12/2025,17/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,800,Refugee Camp,Podgorica (Konik),N/A,27,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://reliefweb.int/report/montenegro/montenegro-floods-refugee-camp-konik-dref-operation-mdrme006-final-report,,,,,
MET-19050131-WBTC-MNE-0001,MeteorologicalHazards,ExtremeTemperature,Coldwave,extreme_temperature,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2012,1,31,2012,2,15,Winter,16/12/2025,17/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,2,20000,Rural Area,"Kolasin, Mojkovac, Berane, Andrijevica, Plav, Rozaje, Bijelo Polje, Pljevlja, Zabljak, Savnik, Pluzine, Niksic, Cetinje, Bar",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,CW-2012-000006-MNE,https://reliefweb.int/report/montenegro/montenegro-extreme-winter-conditions-dref-operation-n%C2%B0-mdrme005-final-report,,,,,
HYDRO-19051110-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2010,11,10,2010,11,16,Autumn,16/12/2025,23/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,1350,All ,"Niksic, Danilovgrad, Bijelo Polje, Berane, Andrijevica, Plav ",+18M Euro,270,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,FL-2010-000239-MNE,https://www.ifrc.org/docs/appeals/10/MDRME003do.pdf,1M infrastructure loss+ government sources indicate that approximately €10.2 million was required for infrastructure repair and reconstruction following the 2010 floods,,,,
HYDRO-19051201-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Government of Montenegro,Very High,2010,12,1,2010,12,3,Winter,23/12/2025,23/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,6630,All ,"Podgorica (Golubovci) Danilovgrad, Cetinje, Bar",+18M Euro,1600,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,FL-2010-000250-MNE,https://www.gov.me/en/article/101512--montenegro-suffers-worst-floods-ever-recorded?utm_source=chatgpt.com,over 18m euros damged,,,,
HYDRO-19051225-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2009,12,25,2010,1,10,Winter,16/12/2025,17/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,N/A,1100,Rural Area,"Ulcinj, Cetinje, Nikšić, Podgorica (Golubovci), Danilovgrad, Bar",N/A,245,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,FL-2009-000267-MNE,https://reliefweb.int/disaster/fl-2009-000267-srb,,,,,
MET-19050810-WBTC-MNE-0001,MeteorologicalHazards,Fires,WildFires,fire,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,8,10,2025,8,20,Summer,16/12/2025,17/12/2025,842,Hectar,Western Balkans & Türkiye & Cyprus,Montenegro,N/A,74,Forest,"Buljarica, Čanj, Bar",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,WF-2025-000136-MNE,https://www.gdacs.org/report.aspx?eventid=1024555&episodeid=2&eventtype=WF,Burned area = 842 ha,,,,
MET-19050811-WBTC-MNE-0001,MeteorologicalHazards,Fires,WildFires,fire,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,8,11,2025,8,21,Summer,16/12/2025,17/12/2025,7791,Hectar,Western Balkans & Türkiye & Cyprus,Montenegro,1,401,Forest,"Piperi (Đurkovići), Kuči, Kokoti, Podgorica",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?episodeid=1&eventid=1024575&eventtype=WF&,Burned area = 7791 ha,,,,
HYDRO-19051006-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,1992,10,6,1992,10,18,Autumn,16/12/2025,17/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,6,6146,All ,"Podgorica, Danilovgrad, Bjelopavlići Plain, Kolašin, Mojkovac, Bijelo Polje, Šavnik, Nikšić, Berane",N/A,N/A,650,100,N/A,No,N/A,N/A,N/A,1 Death,N/A,N/A,https://www.gdacs.org/report.aspx?eventid=706&episodeid=1&eventtype=FL,"Displaced people = 6146, Infrastructure damage: Bar–Belgrade railway disrupted due to landslides; roads around Mojkovac towards Kolašin and Bijelo Polje closed; traffic connections around Kolašin disrupted causing temporary isolation; severe damage to local roads and bridges reported in Lijeva Rijeka and multiple other locations (no figures); Šavnik concrete block factory completely destroyed; approximately 100 m of the Mojkovac tailings dam destroyed; drinking water in Kolašin supplied by tankers from Podgorica; indirect electricity and communication disruptions reported.",,,,
HYDRO-19051110-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,1992,11,10,1992,11,15,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,1,6000,All ,Montenegro (Mojkovac),N/A,N/A,N/A,N/A,Tailings dam (Mojkovac lead & zinc mine): ≈150 m section damaged,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=712&episodeid=1&eventtype=FL,"Flooding was associated with river overflow in the Tara River basin and caused damage to critical industrial infrastructure, including the Mojkovac lead and zinc mine tailings facility, where approximately 150 metres of the tailings dam structure were damaged during the floods.",,,,
HYDRO-19051121-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2023,11,21,2023,11,23,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,All ,Rozaje,N/A,30,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=1102349&episodeid=1&eventtype=FL,No records found other than gdacs and one local journal,,,,
HYDRO-19051004-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2024,10,4,2024,10,6,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,N/A,Montenegro,N/A,30,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?eventid=1102349&episodeid=1&eventtype=FL,No records found other than gdacs,,,,
HYDRO-19051118-WBTC-MNE-0001,HydrologicalHazards,Floods,RiverineFlood,flood,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2025,11,18,2025,11,20,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,N/A,Montenegro,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Floods/report.aspx?episodeid=1&eventid=1103619&eventtype=FL,10 VEHICLES DAMAGED,,,,
MET-19050808-WBTC-MNE-0001,MeteorologicalHazards,Fires,ForestFires,fire,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,8,2021,8,24,Summer,18/12/2025,22/12/2025,15516,Hectar,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,Forest,"Nikšić, Cetinje",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/report.aspx?eventtype=WF&eventid=1001926,"Large-scale forest fires affected central and southern Montenegro between 8–24 August 2021. According to GDACS and GWIS satellite data, approximately 15,516 hectares of forest and shrubland burned. No fatalities or confirmed damage to houses or infrastructure were reported.",,,,
MET-19050809-WBTC-MNE-0001,MeteorologicalHazards,Fires,ForestFires,fire,MNE,1,1,Global Disaster Alert and Coordination System (GDACS),Very High,2021,8,9,2021,8,24,Summer,18/12/2025,22/12/2025,5560,Hectar,Western Balkans & Türkiye & Cyprus,Montenegro,0,N/A,Forest,"Plužine, Šavnik",N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,https://www.gdacs.org/Wildfires/report.aspx?eventtype=WF&eventid=1002060&episodeid=1,"Separate wildfire episode in northern Montenegro during August 2021. GWIS satellite observations indicate approximately 5,560 hectares of forested and mountainous land burned. Impacts were largely limited to natural land cover, with no reported casualties or structural damage.",,,,
HYDRO-19051126-WBTC-MNE-0001,HydrologicalHazards,Floods,FlashFlood,flood,MNE,1,1,International Federation of Red Cross and Red Crescent Societies (IFRC),Very High,2007,11,26,2007,11,29,Autumn,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,0,1086,All ,"Berane, Andrijvica, Rozaj, Mojkovacx, Podgorica, Kolasin",N/A,179,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,FL-2007-000217-SRB,https://reliefweb.int/report/montenegro/montenegro-floods-dref-operation-no-mdrme001,3500 displaced,,,,
BIO-19050301-WBTC-MNE-0001,BiologicalHazards,Epidemic,Viral Epidemic,epidemic,MNE,1,1,World Health Organization (WHO),Very High,2020,3,1,2022,1,1,Spring,18/12/2025,22/12/2025,N/A,N/A,Western Balkans & Türkiye & Cyprus,Montenegro,"2,682",230363,All ,National,"1,100,000 – 1,400,000",0,N/A,N/A,N/A,Yes,1003,"1,679",N/A,N/A,N/A,EP-2020-000012-MNE,https://www.worldometers.info/coronavirus/country/montenegro/?utm_source=chatgpt.com,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
